,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,14,29,43,
,9,145,227,372,
10,954,1143,2097,,
11,2502,2443,4945,,
12,2884,2669,5553,,
13,1371,1324,2695,,
14,298,317,615,,
15,22,39,61,,
16,2,0,2,,
,,,,,
File:,dump.comp130000,T,~,3200,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,4,28,32,
,9,134,204,338,
10,975,1073,2048,,
11,2465,2393,4858,,
12,2902,2731,5633,,
13,1422,1398,2820,,
14,263,332,595,,
15,25,30,55,,
16,2,2,4,,
,,,,,
File:,dump.comp140000,T,~,3100,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,1,1,
,8,6,24,30,
,9,119,192,311,
10,961,1069,2030,,
11,2436,2459,4895,,
12,2890,2677,5567,,
13,1455,1410,2865,,
14,292,330,622,,
15,32,30,62,,
16,1,0,1,,
,,,,,
File:,dump.comp150000,T,~,3000,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,8,22,30,
,9,111,194,305,
10,977,916,1893,,
11,2488,2450,4938,,
12,2899,2788,5687,,
13,1401,1412,2813,,
14,287,378,665,,
15,19,29,48,,
16,2,3,5,,
,,,,,
File:,dump.comp160000,T,~,2900,K
z,Ni_count,Mn_count,Total_count,,
,0,0,0,0,
,1,0,0,0,
,2,0,0,0,
,3,0,0,0,
,4,0,0,0,
,5,0,0,0,
,6,0,0,0,
,7,0,0,0,
,8,6,19,25,
,9,142,178,320,
10,859,874,1733,,
11,2369,2325,4694,,
12,3046,2894,5940,,
13,1443,1474,2917,,
14,304,394,698,,
15,22,31,53,,
