	4000 atoms  6912 atoms	   10976 atoms	    16384 atoms
r       g(r)     r      g(r)     r     g(r)     r      g(r)
7.45	0.8238035719	7.45	0.82538	7.45	0.8474495547	7.45	0.840932991
7.55	0.864323868	7.55	0.85733	7.55	0.8834881871	7.55	0.8818540232
7.65	0.9173940735	7.65	0.9061	7.65	0.9360350072	7.65	0.9194418671
7.75	1.0073066638	7.75	0.99854	7.75	0.9871792312	7.75	0.9830337916
7.85	1.0757980866	7.85	1.07165	7.85	1.0561562188	7.85	1.0733370142
7.95	1.1312400058	7.95	1.16879	7.95	1.1220316213	7.95	1.1395963939
8.05	1.1911759965	8.05	1.18645	8.05	1.1653083112	8.05	1.1784617819
8.15	1.1909038401	8.15	1.17995	8.15	1.1543678185	8.15	1.1653941629
8.25	1.1443249394	8.25	1.12748	8.25	1.1128621116	8.25	1.1440241719
8.35	1.1344212849	8.35	1.12041	8.35	1.0992619814	8.35	1.1058022965
8.45	1.1023529341	8.45	1.10943	8.45	1.0746907486	8.45	1.0795891064
8.55	1.0577203694	8.55	1.0542	8.55	1.0864741827	8.55	1.0772647373
8.65	1.0061105838	8.65	0.99911	8.65	1.0794438505	8.65	1.044664352
8.75	0.9686274564	8.75	0.98636	8.75	1.05055698	8.75	1.0160516762
8.85	0.9562487321	8.85	0.92771	8.85	0.9817925967	8.85	0.9617458194
8.95	0.898386984	8.95	0.90709	8.95	0.9155989811	8.95	0.9205054068
9.05	0.8924076612	9.05	0.86759	9.05	0.8746846734	9.05	0.8754368014
9.15	0.8857906615	9.15	0.88675	9.15	0.8411266717	9.15	0.8665783827
9.25	0.8894657189	9.25	0.90356	9.25	0.8509093479	9.25	0.8637237941
9.35	0.8998836381	9.35	0.89959	9.35	0.8911411377	9.35	0.8835150991
9.45	0.9268617103	9.45	0.93035	9.45	0.91882039	9.45	0.9214419575
9.55	0.9483084744	9.55	0.9262	9.55	0.9415275695	9.55	0.9407999196
9.65	0.9743740041	9.65	0.96053	9.65	0.9727560583	9.65	0.9770667848
9.75	1.007426003	9.75	1.03512	9.75	1.006614498	9.75	1.0069978343
9.85	1.0554449275	9.85	1.08397	9.85	1.0513319006	9.85	1.0494966696
9.95	1.0906950957	9.95	1.09036	9.95	1.0901179656	9.95	1.0879970516
